sample,model,ChamferDistance,IoU
camera,hunyuan,0.00323,0.39214
camera,instantmesh,0.01113,0.32155
camera,lgm,0.07063,0.10149
camera,triposr,0.00556,0.34765
camera,zeroshape,0.04024,0.16866
elephant,hunyuan,0.02926,0.17872
elephant,instantmesh,0.02370,0.15856
elephant,lgm,0.04608,0.08656
elephant,triposr,0.02944,0.12791
elephant,zeroshape,0.10301,0.06860
minecraft_pig,hunyuan,0.14321,0.11062
minecraft_pig,instantmesh,0.05560,0.14632
minecraft_pig,lgm,0.04356,0.08182
minecraft_pig,triposr,0.00667,0.28400
minecraft_pig,zeroshape,0.06491,0.14474
plant,hunyuan,0.02170,0.14461
plant,instantmesh,0.02254,0.19487
plant,lgm,0.04219,0.15637
plant,triposr,0.02901,0.17564
plant,zeroshape,0.04481,0.08575
rabbit,hunyuan,0.01194,0.26684
rabbit,instantmesh,0.06250,0.15970
rabbit,lgm,0.02402,0.18544
rabbit,triposr,0.02884,0.15548
rabbit,zeroshape,0.09004,0.12965
